Site,Sample_ID,Date,Species,Pollen,Sample_no,Who,Buffer,Date,Epoch,RNA,NFW,Date,Target_RNA,DF
Goe189,Goe189S4,7.22,Lasioglossum pauxillum,no,4,C,150,4.9.23,45.234,5.31,4.69,6.9.23,240,3
Goe189,Goe189S5,7.22,Lasioglossum nitidiusculum,no,5,C,150,4.9.23,24.46,6.54,3.46,6.9.23,160,2
Goe189,Goe189S6,7.22,Lasioglossum parvulum,no,6,C,150,4.9.23,71.528,5.59,4.41,6.9.23,400,5
Goe189,Goe189S7,7.22,Lasioglossum nitidiusculum,no,7,C,150,4.9.23,12.742,6.28,3.72,6.9.23,80,1
Goe189,Goe189S8,7.22,Lasioglossum pauxillum,no,8,C,150,4.9.23,67.886,3.54,6.46,6.9.23,240,3
Goe189,Goe189S9,7.22,Lasioglossum parvulum,no,9,C,150,4.9.23,51.284,4.68,5.32,6.9.23,240,3
Goe189,Goe189S10,7.22,Lasioglossum calceatum,no,10,C,150,4.9.23,100.169,3.99,6.01,6.9.23,400,5
Goe235,Goe235S1,7.22,Lasioglossum villosulum,yes,1,C,150,4.9.23,137.484,5.82,4.18,6.9.23,800,10
Goe235,Goe235S2,7.22,Lasioglossum calceatum,yes,2,C,200,4.9.23,145.531,5.50,4.50,6.9.23,800,10
Goe235,Goe235S3,7.22,Lasioglossum calceatum,no,3,C,200,4.9.23,182.896,4.37,5.63,6.9.23,800,10
Goe235,Goe235S4,7.22,Lasioglossum villosulum,no,4,C,200,4.9.23,102.204,7.83,2.17,6.9.23,800,10
Goe235,Goe235S5,7.22,Andrena minutula,no,5,C,200,4.9.23,154.671,5.17,4.83,6.9.23,800,10
Goe235,Goe235S6,7.22,Andrena flavipes,no,6,C,200,4.9.23,213.119,3.75,6.25,6.9.23,800,10
Goe235,Goe235S7,7.22,Lasioglossum calceatum,no,7,C,200,4.9.23,16.149,9.91,0.09,6.9.23,160,2
Goe235,Goe235S8,7.22,Lasioglossum villosulum,no,8,C,150,4.9.23,101.848,3.93,6.07,6.9.23,400,5
Goe235,Goe235S9,7.22,Lasioglossum calceatum,no,9,C,200,4.9.23,59.889,6.68,3.32,6.9.23,400,5
Goe235,Goe235S10,7.22,Lasioglossum villosulum,no,10,C,200,4.9.23,71.492,5.60,4.40,6.9.23,400,5
Goe288,Goe288S1,7.22,Halictus scabiosae,no,1,C,300,19.9.23,364.396,2.20,7.80,20.9.23,800,10
Goe288,Goe288S2,7.22,Andrena flavipes,no,2,C,300,19.9.23,618.966,1.29,8.71,20.9.23,800,10
Goe288,Goe288S3,7.22,Lasioglossum calceatum,no,3,C,300,19.9.23,768.565,1.04,8.96,20.9.23,800,10
Goe288,Goe288S4,7.22,Andrena flavipes,no,4,C,300,19.9.23,356.666,2.24,7.76,20.9.23,800,10
Goe288,Goe288S5,7.22,Andrena flavipes,no,5,C,300,19.9.23,437.118,1.83,8.17,20.9.23,800,10
Goe288,Goe288S6,7.22,Andrena flavipes,no,6,C,300,19.9.23,729.682,1.10,8.90,20.9.23,800,10
Goe288,Goe288S7,7.22,Eucera longicornis,no,7,C,500,19.9.23,814.981,0.98,9.02,20.9.23,800,10
Goe288,Goe288S8,7.22,Andrena flavipes,no,8,C,300,19.9.23,403.889,1.98,8.02,20.9.23,800,10
Goe288,Goe288S9,7.22,Andrena flavipes,no,9,C,300,19.9.23,770.694,1.04,8.96,20.9.23,800,10
Goe288,Goe288S10,7.22,Andrena flavipes,no,10,C,300,19.9.23,651.893,1.23,8.77,20.9.23,800,10
Goe288,Goe288S11,7.22,,no,11,C,200,12.12.23,31.317,5.11,4.89,20.9.23,160,2
Goe288,Goe288S12,7.22,Andrena gravida,no,12,C,200,12.12.23,65.308,3.67,6.33,20.9.23,240,3
Goe288,Goe288S13,7.22,Halictus sp.,no,13,C,200,12.12.23,97.754,4.09,5.91,20.9.23,400,5
Goe47,Goe47S1,7.22,Andrena flavipes,yes,1,C,300,19.9.23,772.405,1.04,8.96,20.9.23,800,10
Goe47,Goe47S2,7.22,Andrena flavipes,yes,2,C,300,19.9.23,476.142,1.68,8.32,20.9.23,800,10
Goe47,Goe47S3,7.22,Andrena flavipes,no,3,C,300,19.9.23,844.797,0.95,9.05,20.9.23,800,10
Goe47,Goe47S4,7.22,Andrena flavipes,yes,4,C,300,19.9.23,471.677,1.70,8.30,20.9.23,800,10
Goe47,Goe47S5,7.22,Lasioglossum calceatum,no,5,C,300,19.9.23,935.995,0.85,9.15,20.9.23,800,10
Goe47,Goe47S6,7.22,Andrena flavipes,no,6,C,300,19.9.23,722.486,1.11,8.89,20.9.23,800,10
Goe47,Goe47S7,7.22,Andrena flavipes,yes,7,C,300,19.9.23,292.92,2.73,7.27,20.9.23,800,10
Goe47,Goe47S8,7.22,Andrena flavipes,yes,8,C,300,19.9.23,726.254,1.10,8.90,20.9.23,800,10
Goe47,Goe47S9,7.22,Andrena flavipes,yes,9,C,300,19.9.23,606.517,1.32,8.68,20.9.23,800,10
Goe47,Goe47S10,7.22,Andrena flavipes,yes,10,C,300,19.9.23,389.347,2.05,7.95,20.9.23,800,10
Goe595,Goe595S1,7.22,Melitta leporina,no,1,C,300,19.9.23,665.024,1.20,8.80,20.9.23,800,10
Goe595,Goe595S2,7.22,Andrena flavipes,yes,2,C,300,19.9.23,629.945,1.27,8.73,20.9.23,800,10
Goe595,Goe595S3,7.22,Andrena flavipes,yes,3,C,300,19.9.23,821.736,0.97,9.03,20.9.23,800,10
Goe595,Goe595S4,7.22,Orisarma intermedium,yes,4,C,300,19.9.23,822.081,0.97,9.03,20.9.23,800,10
Goe595,Goe595S5,7.22,Andrena bicolor,yes,5,C,300,19.9.23,382.783,2.09,7.91,20.9.23,800,10
Goe595,Goe595S6,7.22,Oedogonium sp. BN3,yes,6,C,300,19.9.23,503.161,1.59,8.41,20.9.23,800,10
Goe595,Goe595S7,7.22,Andrena bicolor,no,7,C,300,19.9.23,287.685,2.78,7.22,20.9.23,800,10
Goe595,Goe595S8,7.22,Melitta leporina,yes,8,C,300,19.9.23,401.512,1.99,8.01,20.9.23,800,10
Goe595,Goe595S9,7.22,Eucera nigrescens,yes,9,C,300,19.9.23,327.692,2.44,7.56,20.9.23,800,10
Goe595,Goe595S10,7.22,Eucera nigrescens,no,10,C,300,19.9.23,832.776,0.96,9.04,20.9.23,800,10
Goe595,Goe595S11,7.22,,no,11,C,200,12.12.23,31.179,5.13,4.87,20.9.23,160,2
Goe595,Goe595S12,7.22,,no,12,C,200,12.12.23,19.649,8.14,1.86,20.9.23,160,2
Goe595,Goe595S13,7.22,Lasioglossum pauxillum,no,13,C,150,12.12.23,18.79,8.52,1.48,20.9.23,160,2
Goe595,Goe595S14,7.22,Lasioglossum pauxillum,no,14,C,150,12.12.23,31.114,5.14,4.86,20.9.23,160,2
Goe595,Goe595S15,7.22,,no,15,C,150,12.12.23,24.634,6.50,3.50,20.9.23,160,2
Goe595,Goe595S16,7.22,Lasioglossum pauxillum,no,16,C,150,12.12.23,35.9,4.46,5.54,20.9.23,160,2
Goe595,Goe595S17,7.22,Lasioglossum pauxillum,no,17,C,150,12.12.23,43.643,3.67,6.33,20.9.23,160,2
Goe595,Goe595S18,7.22,Lasioglossum pauxillum,no,18,C,150,12.12.23,18.528,8.64,1.36,20.9.23,160,2
Goe598,Goe598S1,7.22,Colletes daviesanus,no,1,C,300,19.9.23,222.26,3.60,6.40,20.9.23,800,10
Goe598,Goe598S2,7.22,Andrena bicolor,no,2,C,200,19.9.23,101.036,3.96,6.04,20.9.23,400,10
Goe598,Goe598S3,7.22,Lasioglossum calceatum,no,3,C,200,19.9.23,156.381,5.12,4.88,20.9.23,800,10
Goe598,Goe598S4,7.22,Andrena flavipes,yes,4,C,300,19.9.23,495.108,1.62,8.38,20.9.23,800,10
Goe598,Goe598S5,7.22,Andrena bicolor,no,5,C,200,19.9.23,60.284,3.98,6.02,20.9.23,240,5
Goe598,Goe598S6,7.22,Colletes daviesanus,no,6,C,200,19.9.23,315.821,2.53,7.47,20.9.23,800,10
Goe598,Goe598S7,7.22,Andrena flavipes,yes,7,C,300,19.9.23,983.87,0.81,9.19,20.9.23,800,10
Goe598,Goe598S8,7.22,Andrena dorsata,yes,8,C,300,19.9.23,239.062,3.35,6.65,20.9.23,800,10
Goe598,Goe598S9,7.22,Andrena flavipes,yes,9,C,300,19.9.23,545.745,1.47,8.53,20.9.23,800,10
Goe598,Goe598S10,7.22,Andrena bicolor,no,10,C,300,19.9.23,387.907,2.06,7.94,20.9.23,800,10
Goe598,Goe598S11,7.22,,no,11,C,150,12.12.23,22.232,7.20,2.80,20.9.23,160,2
Goe598,Goe598S12,7.22,Hylaeus communis,no,12,C,150,12.12.23,30.563,5.24,4.76,20.9.23,160,2
Goe598,Goe598S13,7.22,Hylaeus communis,no,13,C,150,12.12.23,189.788,2.11,7.89,20.9.23,400,5
Goe598,Goe598S14,7.22,Lasioglossum pauxillum,no,14,C,150,12.12.23,37.791,4.23,5.77,20.9.23,160,2
Goe598,Goe598S15,7.22,Lasioglossum pauxillum,no,15,C,150,12.12.23,88.647,2.71,7.29,20.9.23,240,3
Goe598,Goe598S16,7.22,Lasioglossum pauxillum,no,16,C,150,12.12.23,36.957,4.33,5.67,20.9.23,160,2
